代码,日股代码,公司名称,行业板块,现价 (¥),市值 (兆¥),滚动PE,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
1332.T,1332,Nippon Suisan Kaisha,水产农林,1163.0,0.35,12.9,10.26,14.1,275.0,-7.49
1605.T,1605,INPEX,矿业,3913.0,4.52,10.6,9.27,-2.6,286.0,4.88
1721.T,1721,Comsys Holdings,建设业,5868.0,0.67,18.9,10.16,8.6,230.0,9.81
1801.T,1801,Taisei,建设业,12620.0,2.06,12.3,,18.4,301.0,-3.18
1802.T,1802,Obayashi,建设业,3083.0,2.12,12.4,16.16,19.0,305.0,-0.61
1803.T,1803,Shimizu,建设业,2358.0,1.6,12.6,17.63,9.3,327.0,-2.19
1808.T,1808,Haseko,建设业,2733.0,0.72,13.4,11.59,9.2,366.0,-2.45
1812.T,1812,Kajima,建设业,4979.0,2.3,13.1,,-1.5,293.0,-3.46
1925.T,1925,Daiwa House Industry,建设业,4558.0,2.82,8.0,12.88,9.0,202.0,-1.69
1928.T,1928,Sekisui House,建设业,3350.0,2.17,8.5,12.26,-5.8,436.0,-2.29
1963.T,1963,JGC Holdings,建设业,2334.5,0.57,13.5,11.85,-16.1,223.0,1.11
2002.T,2002,Nisshin Seifun Group,食品,1998.0,0.56,17.6,6.1,1.1,325.0,-1.92
2269.T,2269,Meiji Holdings,食品,4356.0,1.18,33.7,5.53,5.8,253.0,5.71
2282.T,2282,NH Foods,食品,6078.0,0.56,16.8,6.74,8.7,296.0,-2.67
2501.T,2501,Sapporo Holdings,食品,1848.0,0.72,76.3,2.38,0.7,216.0,-5.12
2502.T,2502,Asahi Group Holdings,食品,1610.0,2.35,14.6,5.57,12.0,385.0,-2.46
2503.T,2503,Kirin Holdings,食品,2848.5,2.26,11.7,15.14,9.2,267.0,-3.27
2801.T,2801,Kikkoman,食品,1655.0,1.54,25.1,12.09,15.0,151.0,-3.66
2802.T,2802,Ajinomoto,食品,4904.0,4.67,35.5,18.49,13.2,102.0,-6.54
2871.T,2871,Nichirei,食品,2210.0,0.55,20.2,10.27,34.1,335.0,2.14
2914.T,2914,Japan Tobacco (JT),食品,6886.0,12.23,20.5,14.3,17.0,395.0,2.01
3086.T,3086,J. Front Retailing,零售业,2667.0,0.65,23.6,6.48,-3.9,210.0,-8.77
3099.T,3099,Isetan Mitsukoshi,零售业,3296.0,1.14,15.4,,3.8,182.0,-6.91
3382.T,3382,Seven & i Holdings,零售业,2020.0,4.58,17.0,8.05,-14.7,297.0,-0.74
3401.T,3401,Teijin,纺织制品,1692.0,0.33,,-9.89,-8.7,296.0,-1.02
3402.T,3402,Toray Industries,纺织制品,1248.0,1.82,23.6,5.61,14.0,184.0,0.89
3405.T,3405,Kuraray,化学,1763.0,0.53,64.9,0.82,12.2,306.0,-3.22
3407.T,3407,Asahi Kasei,化学,1600.0,2.13,13.7,9.75,11.9,275.0,-5.88
3861.T,3861,Oji Holdings,纸浆纸业,875.7,0.74,14.3,6.01,2.4,411.0,1.07
3863.T,3863,Nippon Paper,纸浆纸业,1326.0,0.15,13.0,2.21,7.5,113.0,-3.98
4004.T,4004,Resonac Holdings,化学,13895.0,2.64,47.6,8.14,15.0,47.0,-9.0
4005.T,4005,Sumitomo Chemical,化学,580.2,0.96,15.6,13.17,9.9,276.0,6.08
4021.T,4021,Nissan Chemical,化学,8257.0,1.1,22.4,21.78,12.8,257.0,4.5
4042.T,4042,Tosoh,化学,2599.5,0.8,19.6,,11.8,385.0,-3.3
4043.T,4043,Tokuyama,化学,4181.0,0.3,13.6,,,344.0,-0.01
4061.T,4061,Denka,化学,3309.0,0.29,18.2,2.62,,302.0,-5.33
4063.T,4063,Shin-Etsu Chemical,化学,5844.0,10.61,23.1,11.23,5.4,198.0,-6.45
4183.T,4183,Mitsui Chemicals,化学,2186.0,0.79,23.9,8.04,10.8,343.0,1.02
4188.T,4188,Mitsubishi Chemical,化学,1189.0,1.62,,1.42,14.0,269.0,0.25
4208.T,4208,UBE,化学,3452.0,0.34,14.0,5.56,21.3,463.0,1.65
4452.T,4452,Kao,化学,3478.0,3.15,24.9,12.32,9.4,224.0,1.21
4502.T,4502,Takeda Pharmaceutical,医药品,5968.0,9.53,,-2.26,10.2,342.0,5.75
4503.T,4503,Astellas Pharma,医药品,2383.5,4.27,14.7,21.3,26.7,336.0,4.46
4506.T,4506,Sumitomo Pharma,医药品,1609.5,0.72,6.0,38.53,19.9,0.0,13.69
4507.T,4507,Shionogi,医药品,2954.5,2.51,12.3,16.77,63.7,257.0,2.47
4519.T,4519,Chugai Pharmaceutical,医药品,6746.0,11.1,23.5,23.49,17.8,196.0,-2.65
4523.T,4523,Eisai,医药品,4930.0,1.39,36.1,4.96,15.6,325.0,4.68
4568.T,4568,Daiichi Sankyo,医药品,2953.5,5.37,21.1,14.81,21.1,339.0,6.3
4578.T,4578,Otsuka Holdings,医药品,11120.0,5.83,14.5,13.42,17.4,180.0,-4.83
4631.T,4631,DIC,化学,4755.0,0.45,8.0,12.26,18.9,336.0,-1.47
